Season,team1,team2,toss_winner,toss_decision,venue,winner,Home_advantage
9,14,13,13,1,28,14,1
9,8,11,11,1,21,11,0
9,4,7,7,1,31,7,1
9,11,5,5,1,13,5,0
9,13,3,13,0,17,13,1
9,4,14,14,1,28,14,0
9,7,8,8,1,40,8,0
9,13,5,13,0,13,5,0
9,3,11,11,1,21,3,0
9,14,8,8,1,40,8,0
9,5,7,7,1,8,7,0
9,13,8,8,1,17,8,1
9,11,4,4,1,31,4,0
9,7,14,14,1,8,7,1
9,3,5,3,0,9,3,0
9,4,8,8,1,40,8,0
9,11,13,13,1,17,11,0
9,3,7,3,0,9,7,0
9,14,5,5,1,28,14,1
9,13,4,4,1,31,13,0
9,14,3,14,0,28,14,1
9,5,8,8,1,13,8,0
9,7,4,4,1,8,4,1
9,8,3,3,1,40,8,1
9,14,11,11,1,21,11,0
9,5,4,4,1,31,5,0
9,7,13,13,1,8,7,1
9,11,8,8,1,40,11,0
9,11,7,7,1,21,7,1
9,13,4,4,1,17,4,1
9,3,7,7,1,8,7,0
9,14,5,5,1,26,14,0
9,11,13,13,1,21,11,1
9,4,8,4,0,31,8,1
9,3,5,5,1,26,5,0
9,14,7,7,1,28,14,1
9,13,8,13,0,40,8,0
9,4,11,11,1,21,11,0
9,14,3,3,1,9,3,0
9,7,11,11,1,8,11,1
9,4,3,3,1,9,3,0
9,5,13,13,1,17,5,0
9,11,14,14,1,28,11,0
9,8,3,3,1,9,8,0
9,13,7,7,1,17,7,1
9,5,4,4,1,26,4,0
9,8,14,8,0,28,14,0
9,5,7,7,1,26,5,0
9,4,3,3,1,11,3,0
9,5,8,8,1,40,5,0
9,3,11,3,0,9,3,0
9,4,14,14,1,11,14,0
9,8,7,7,1,8,8,0
9,5,11,11,1,21,11,0
9,13,3,13,0,9,13,0
9,11,8,8,1,40,11,0
9,14,7,7,1,17,7,0
9,7,8,8,1,17,8,0
9,8,11,8,0,28,8,0
0,7,13,13,1,17,7,0
0,0,5,0,0,27,0,0
0,10,3,10,0,9,3,0
0,8,13,8,0,40,13,1
0,1,7,1,0,8,7,0
0,5,10,5,0,32,10,0
0,1,3,1,0,28,3,0
0,0,8,8,1,20,0,1
0,1,10,10,1,28,10,0
0,5,8,8,1,27,5,0
0,13,10,10,1,17,10,1
0,7,0,7,0,20,0,0
0,8,1,1,1,5,1,0
0,3,5,3,0,27,5,0
0,0,13,0,0,17,0,0
0,7,8,7,0,8,8,1
0,3,13,13,1,9,3,0
0,1,5,5,1,28,5,0
0,10,7,10,0,32,10,1
0,0,3,0,0,20,3,1
0,1,13,1,0,28,13,0
0,5,7,5,0,27,5,0
0,8,3,3,1,5,8,0
0,0,10,0,0,32,10,0
0,13,5,5,1,17,5,1
0,0,1,1,1,20,1,1
0,10,8,8,1,5,8,0
0,3,0,0,1,9,0,0
0,7,13,7,0,8,7,1
0,1,10,10,1,32,10,0
0,13,8,8,1,17,8,1
0,0,5,5,1,20,0,1
0,7,1,7,0,28,7,0
0,3,10,10,1,32,10,0
0,13,5,13,0,27,5,0
0,7,3,7,0,8,7,1
0,0,8,8,1,40,8,0
0,5,10,10,1,27,5,0
0,3,1,1,1,9,3,0
0,7,8,8,1,40,8,0
0,3,5,3,0,9,5,0
0,10,13,13,1,32,10,1
0,8,1,1,1,28,8,0
0,7,0,7,0,8,0,1
0,13,3,3,1,17,3,1
0,7,10,10,1,8,10,1
0,5,8,8,1,40,5,0
0,13,0,13,0,20,13,0
0,1,5,5,1,27,5,0
0,8,3,3,1,9,3,0
0,10,0,10,0,20,10,0
0,13,1,1,1,17,13,1
0,5,7,5,0,8,7,0
0,8,10,10,1,32,10,0
0,1,0,1,0,28,0,0
0,10,3,3,1,40,10,0
0,5,0,5,0,40,0,0
0,0,10,10,1,5,10,0
1,8,0,0,1,24,8,0
1,13,10,13,0,24,13,0
1,5,3,3,1,24,3,0
1,7,1,7,0,24,1,0
1,0,13,0,0,36,0,0
1,5,7,7,1,16,7,0
1,1,13,1,0,24,1,0
1,3,0,3,0,16,3,0
1,10,7,7,1,24,10,0
1,13,5,13,0,16,5,0
1,1,8,1,0,16,1,0
1,13,3,13,0,36,3,0
1,5,10,5,0,24,5,0
1,0,1,1,1,16,1,0
1,8,7,8,0,36,8,0
1,3,10,3,0,38,10,0
1,7,13,7,0,16,13,0
1,5,8,5,0,16,5,0
1,1,3,3,1,38,3,0
1,0,10,10,1,38,0,0
1,8,7,8,0,3,8,0
1,13,5,13,0,16,13,0
1,1,10,1,0,36,10,0
1,0,3,3,1,23,0,0
1,7,5,7,0,36,5,0
1,8,13,8,0,23,13,0
1,0,1,0,0,3,0,0
1,10,5,5,1,16,10,0
1,7,3,7,0,16,3,0
1,1,8,1,0,38,1,0
1,13,10,10,1,38,10,0
1,0,5,0,0,38,0,0
1,8,3,8,0,3,3,0
1,1,5,5,1,4,5,0
1,10,0,10,0,4,0,0
1,8,13,8,0,36,8,0
1,7,3,3,1,23,3,0
1,1,10,1,0,4,1,0
1,7,13,13,1,38,13,0
1,5,8,5,0,38,8,0
1,3,1,1,1,16,3,0
1,0,13,0,0,16,13,0
1,10,8,10,0,16,10,0
1,3,5,5,1,25,5,0
1,8,0,8,0,36,0,0
1,7,1,1,1,23,1,0
1,5,1,1,1,23,5,0
1,3,10,3,0,25,3,0
1,0,7,0,0,38,7,0
1,3,13,3,0,23,13,0
1,10,7,7,1,16,7,0
1,0,5,0,0,16,0,0
1,8,3,3,1,38,3,0
1,13,1,13,0,38,13,0
1,3,1,1,1,38,1,0
1,0,13,13,1,23,13,0
1,1,13,13,1,23,1,0
2,7,1,1,1,5,7,0
2,8,10,8,0,2,8,0
2,5,3,3,1,27,3,0
2,13,7,7,1,8,7,0
2,1,0,1,0,20,1,0
2,10,3,3,1,30,3,0
2,5,13,5,0,17,13,0
2,0,7,0,0,8,0,0
2,8,3,3,1,9,8,0
2,10,13,13,1,17,13,0
2,3,0,3,0,9,0,0
2,1,5,5,1,1,1,0
2,10,7,10,0,30,10,0
2,8,13,8,0,2,13,0
2,1,3,1,0,1,1,0
2,5,0,0,1,20,5,0
2,7,8,7,0,2,8,0
2,13,0,0,1,17,13,1
2,10,5,5,1,27,10,0
2,0,8,8,1,2,8,0
2,1,10,1,0,30,10,0
2,7,5,7,0,27,7,0
2,3,13,13,1,17,3,0
2,10,0,10,0,30,10,0
2,8,1,1,1,5,8,0
2,3,7,3,0,9,3,0
2,5,8,8,1,2,8,0
2,13,0,13,0,20,0,0
2,3,10,3,0,9,3,0
2,7,1,7,0,8,7,1
2,5,13,5,0,27,13,0
2,0,10,0,0,20,0,1
2,8,1,8,0,2,8,0
2,7,5,7,0,8,5,1
2,3,13,3,0,9,3,0
2,10,1,10,0,39,10,0
2,0,8,0,0,20,0,1
2,5,10,5,0,32,10,0
2,7,3,7,0,8,7,1
2,13,1,1,1,17,1,1
2,8,5,8,0,27,5,0
2,0,1,0,0,39,1,0
2,7,13,13,1,17,13,0
2,3,5,3,0,9,5,0
